name,skill_download_count,skill_install_count,skill_star_count,skill_fork_count,developer,developer_is_org,developer_github_stars,domain,ambiguous_permissions,source_plat,declaration_atomic_ids,implementation_atomic_ids,minimum_permission_set,requested_atoms_used,necessary_atoms_used,reach,phi,gamma,pdei_score,n_eff,n_eff_tier,n_eff_source,platform_median_used,alpha1_star_used,alpha2_fork_used,lambda_dev,delta_t1,delta_t2,delta_t3,delta_t4,extra_t1,extra_t2,extra_t3,extra_t4,unknown_requested_atoms,unknown_necessary_atoms,path_A,path_B,path_C,path_D,path_E
it-operations,,179.0,24807,2453,davila7,False,26056,Dom-15,T,skill.sh,"A3,A4,A5,C3,G1,G3,I2,I3,I4,K3,K5,O3,O4,Q1,Q2,Q3,Q4,R1,R7,R8,U1,U4,X1,X3,X4,X7,X8","A2,A3,A4,A5,C2,C3,G1,G3,G4,G5,I4,I6,K3,K4,O4,Q1,Q2,Q3,Q4,R10,R4,R5,R6,R8,S7,U1,W1,W2,W3,X1,X3,X4,X5,X6,X7,X8","[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","A3,A4,A5,C3,G1,G3,I2,I3,I4,K3,K5,O3,O4,Q1,Q2,Q3,Q4,R1,R7,R8,U1,U4,X1,X3,X4,X7,X8","K1,K2,K3,K5,R1",8.526,55.0,26.0,12191.92,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,5,3,8,6,"Q2,Q3,Q4,R7,R8","C3,U1,U4","G3,O3,O4,X1,X3,X4,X7,X8","A3,A4,A5,I2,I3,I4",,,1,1,1,1,1
windows-privilege-escalation,,,24807,2453,davila7,False,26056,Dom-15,T,skillsmp,"A3,A5,G1,I3,Q1,Q2,R6,R9,X7",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","A3,A5,G1,I3,Q1,Q2,R6,R9,X7","K1,K2,K3,K5,R1",8.526,17.5,10.0,1492.02,49614.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,1,3,"Q2,R6,R9",,X7,"A3,A5,I3",,,0,1,0,0,1
guard,,,78853,11339,garrytan,False,88771,Dom-15,T,skillsmp,"Q1,R1,R6,R7,X1,X8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","Q1,R1,R6,R7,X1,X8","K1,K2,K3,K5,R1",9.461,7.0,4.0,264.91,157706.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,2,0,"R6,R7",,"X1,X8",,,,0,1,0,0,0
unfreeze,,,78853,11339,garrytan,False,88771,Dom-15,T,skillsmp,"R7,X1,X8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","R7,X1,X8","K1,K2,K3,K5,R1",9.461,6.0,4.0,227.07,157706.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,0,R7,,"X1,X8",,,,0,1,0,0,0
add-macos-statusbar,,,27598,12502,gavrielc,False,1276,Dom-15,T,skillsmp,"Q1,Q2,X3,X8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","Q1,Q2,X3,X8","K1,K2,K3,K5,R1",8.828,6.0,4.0,211.86,55196.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,0,Q2,,"X3,X8",,,,0,1,0,0,0
centos-linux-triage,,7094.0,30605,3652,github,True,665129,Dom-15,F,skill.sh,R1,,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]",R1,"K1,K2,K3,K5,R1",8.704,0.0,1.0,0.0,61210.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,0,0,,,,,,,0,0,0,0,0
persona-it-admin,,4381.0,25117,1284,googleworkspace,True,43886,Dom-15,T,skill.sh,"A5,O3,Q3,R8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","A5,O3,Q3,R8","K1,K2,K3,K5,R1",8.501,8.5,10.0,722.57,50234.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,1,1,"Q3,R8",,O3,A5,,,0,1,0,0,1
cli-anything-rms,,,31931,3103,HKUDS,True,243903,Dom-15,T,skillsmp,"O4,Q1,Q3,R8,R9,W2,X4,X7,X8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","O4,Q1,Q3,R8,R9,W2,X4,X7,X8","K1,K2,K3,K5,R1",8.722,13.0,4.0,453.54,63862.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,4,0,"Q3,R8,R9",,"O4,X4,X7,X8",,,,0,1,0,0,0
ec2,,34.0,1076,437,itsmostafa,False,1284,Dom-15,T,skill.sh,"A3,A5,O3,O4,Q1,Q2,R7,U1,X7,X8","A3,A5,G1,K4,O4,W1,X5,X7,X8","[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","A3,A5,O3,O4,Q1,Q2,R7,U1,X7,X8","K1,K2,K3,K5,R1",6.266,22.0,26.0,3584.05,2152.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,1,4,2,"Q2,R7",U1,"O3,O4,X7,X8","A3,A5",,,1,1,1,1,1
apple-notes-install-auth,,,1990,269,jeremylongshore,False,2092,Dom-15,T,skillsmp,"O4,Q1,R1,R7,W2,X1,X8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","O4,Q1,R1,R7,W2,X1,X8","K1,K2,K3,K5,R1",6.579,8.5,4.0,223.69,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,3,0,R7,,"O4,X1,X8",,,,0,1,0,0,0
database-health-monitor,,,1990,269,jeremylongshore,False,2092,Dom-15,T,skillsmp,"A4,A5,Q1",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","A4,A5,Q1","K1,K2,K3,K5,R1",6.579,8.0,1.0,52.63,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,0,2,,,,"A4,A5",,,0,0,0,0,0
paywall-upgrade-cro,,154.0,24807,2453,davila7,False,26056,Dom-14,T,skill.sh,"G1,G2,I3,O4,Q1,Q3,Q4,R1,U1",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","G1,G2,I3,O4,Q1,Q3,Q4,R1,U1","G2,O2,Q3,R1,R8",8.526,9.5,26.0,2105.88,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,1,1,1,Q4,U1,O4,I3,,,1,1,1,1,1
windsurf-license-management,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A5,G1,R7","A5,G1,Q4","[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A5,G1,R7","G2,O2,Q3,R1,R8",6.579,5.0,1.0,32.9,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,0,1,R7,,,A5,,,0,0,0,0,0
webhook-sender-creator,,27.0,1990,269,jeremylongshore,False,2092,Dom-14,T,skill.sh,"A4,G1,X1",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A4,G1,X1","G2,O2,Q3,R1,R8",6.579,6.5,7.0,299.35,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,1,1,,,X1,A4,,,0,0,0,0,1
googlecalendar-automation,,,55259,5931,ComposioHQ,True,98912,Dom-14,F,skillsmp,"I4,O3,Q1,Q3,R1,R7,X7",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","I4,O3,Q1,Q3,R1,R7,X7","G2,O2,Q3,R1,R8",9.158,10.0,10.0,915.79,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,1,R7,,"O3,X7",I4,,,0,1,0,0,1
juicebox-install-auth,,22.0,1990,269,jeremylongshore,False,2092,Dom-14,T,skill.sh,"A7,I4,Q1,R7,X1,X4",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A7,I4,Q1,R7,X1,X4","G2,O2,Q3,R1,R8",6.579,14.0,10.0,921.07,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,2,2,R7,,"X1,X4","A7,I4",,,0,1,0,0,1
palantir-install-auth,0.0,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsdirectory,"I4,Q1,Q2,R7,R8,X1,X4,X7",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","I4,Q1,Q2,R7,R8,X1,X4,X7","G2,O2,Q3,R1,R8",6.579,13.5,10.0,888.18,3980.0,2,star_proxy,36905.0,2.0,2.0,1.8,2,0,3,1,"Q2,R7",,"X1,X4,X7",I4,,,0,1,0,0,1
mixpanel-automation,,36.0,2781,317,davepoon,False,2817,Dom-14,T,skill.sh,"G1,G5,I4,O3,Q1,Q2,R7",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","G1,G5,I4,O3,Q1,Q2,R7","G2,O2,Q3,R1,R8",6.826,11.0,10.0,750.85,5562.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,2,1,"Q2,R7",,"G5,O3",I4,,,0,1,0,0,1
coderabbit-cost-tuning,,23.0,1990,269,jeremylongshore,False,2092,Dom-14,T,skill.sh,"A5,G1,I3,Q1,Q2,R1,R7,R8,X1,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A5,G1,I3,Q1,Q2,R1,R7,R8,X1,X8","G2,O2,Q3,R1,R8",6.579,15.0,10.0,986.86,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,2,0,2,2,"Q2,R7",,"X1,X8","A5,I3",,,0,1,0,0,1
finta-webhooks-events,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A3,A4,C3,Q1,Q3,R8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A3,A4,C3,Q1,Q3,R8","G2,O2,Q3,R1,R8",6.579,10.0,8.0,526.33,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,1,0,2,,C3,,"A3,A4",,,0,0,0,1,0
evernote-sdk-patterns,,24.0,1990,269,jeremylongshore,False,2092,Dom-14,T,skill.sh,"A7,O3,O4,Q1,Q2,R4,R7,R8","A7,G5,O4,Q1,R10,R4,U2","[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A7,O3,O4,Q1,Q2,R4,R7,R8","G2,O2,Q3,R1,R8",6.579,12.0,10.0,789.49,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,2,1,"Q2,R4,R7",,"O3,O4",A7,,,0,1,0,0,1
coderabbit-incident-runbook,,22.0,1990,269,jeremylongshore,False,2092,Dom-14,T,skill.sh,"G2,O4,Q2,Q4,R7,R8,X1,X2,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","G2,O4,Q2,Q4,R7,R8,X1,X2,X8","G2,O2,Q3,R1,R8",6.579,13.0,4.0,342.11,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,4,0,"Q2,Q4,R7",,"O4,X1,X2,X8",,,,0,1,0,0,0
webflow-hello-world,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A7,G2,Q1,X1,X7",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A7,G2,Q1,X1,X7","G2,O2,Q3,R1,R8",6.579,9.0,7.0,414.48,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,1,,,"X1,X7",A7,,,0,0,0,0,1
changelog-collect,,,97825,54594,ant-design,True,191249,Dom-14,T,skillsmp,"G3,Q1,Q2,Q3,R1,R7,R8,X7,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","G3,Q1,Q2,Q3,R1,R7,R8,X7,X8","G2,O2,Q3,R1,R8",9.871,9.5,4.0,375.11,195650.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,3,0,"Q2,R7",,"G3,X7,X8",,,,0,1,0,0,0
notion-ci-integration,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A4,A7,G5,O3,O4,Q1,Q2,R7,R8,X1,X7,X8","A4,I3,O4,R8,X2,X7,X8","[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A4,A7,G5,O3,O4,Q1,Q2,R7,R8,X1,X7,X8","G2,O2,Q3,R1,R8",6.579,25.0,10.0,1644.77,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,0,6,2,"Q2,R7",,"G5,O3,O4,X1,X7,X8","A4,A7",,,0,1,0,0,1
miro-debug-bundle,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A7,Q1,Q3,R7,W2,X1,X7,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A7,Q1,Q3,R7,W2,X1,X7,X8","G2,O2,Q3,R1,R8",6.579,12.5,10.0,822.38,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,3,1,R7,,"X1,X7,X8",A7,,,0,1,0,0,1
clickup-core-workflow-b,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"O4,Q1,Q3,R7,X1,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","O4,Q1,Q3,R7,X1,X8","G2,O2,Q3,R1,R8",6.579,8.5,4.0,223.69,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,3,0,R7,,"O4,X1,X8",,,,0,1,0,0,0
ops-marketing,,,2781,317,davepoon,False,2817,Dom-14,T,skillsmp,"A3,A5,G1,G2,I3,I4,O3,Q1,Q2,Q3,Q4,R1,R9,W2,X1,X3,X7,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A3,A5,G1,G2,I3,I4,O3,Q1,Q2,Q3,Q4,R1,R9,W2,X1,X3,X7,X8","G2,O2,Q3,R1,R8",6.826,31.5,10.0,2150.17,5562.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,5,4,"Q2,Q4,R9",,"O3,X1,X3,X7,X8","A3,A5,I3,I4",,,0,1,0,0,1
entity-optimizer,,984.0,1099,160,aaron-he-zhu,False,1123,Dom-14,T,skill.sh,"A5,G1,Q1,R1,R7,R8,X1,X5","A5,G1,I4,K4,Q3,Q4,X7","[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A5,G1,Q1,R1,R7,R8,X1,X5","G2,O2,Q3,R1,R8",6.122,10.0,10.0,612.22,2198.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,2,1,R7,,"X1,X5",A5,,,0,1,0,0,1
linktree-cost-tuning,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A3,A4,A5,O3,Q1,Q2",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A3,A4,A5,O3,Q1,Q2","G2,O2,Q3,R1,R8",6.579,15.5,10.0,1019.76,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,1,3,Q2,,O3,"A3,A4,A5",,,0,1,0,0,1
gamma-performance-tuning,,23.0,1990,269,jeremylongshore,False,2092,Dom-14,T,skill.sh,"A5,A7,O3,R8","G5,I4,R1","[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A5,A7,O3,R8","G2,O2,Q3,R1,R8",6.579,10.5,7.0,483.56,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,1,2,,,O3,"A5,A7",,,0,0,0,0,1
linktree-debug-bundle,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A4,A7,G2,I4,R7,X1,X7,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A4,A7,G2,I4,R7,X1,X7,X8","G2,O2,Q3,R1,R8",6.579,20.5,10.0,1348.71,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,3,3,R7,,"X1,X7,X8","A4,A7,I4",,,0,1,0,0,1
posthog-rate-limits,,24.0,1990,269,jeremylongshore,False,2092,Dom-14,T,skill.sh,"A5,A7,I4,O3,O4,Q1,R7,R8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A5,A7,I4,O3,O4,Q1,R7,R8","G2,O2,Q3,R1,R8",6.579,18.0,10.0,1184.23,3980.0,2,star_proxy,5562.0,2.0,2.0,1.8,1,0,2,3,R7,,"O3,O4","A5,A7,I4",,,0,1,0,0,1
workhuman-core-workflow-b,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"Q1,R8,X1,X7",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","Q1,R8,X1,X7","G2,O2,Q3,R1,R8",6.579,5.0,1.0,32.9,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,0,,,"X1,X7",,,,0,0,0,0,0
attio-webhooks-events,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A4,A7,O4,Q1,Q3,R7,R8,X1,X8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","A4,A7,O4,Q1,Q3,R7,R8,X1,X8","G2,O2,Q3,R1,R8",6.579,16.5,10.0,1085.55,3980.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,3,2,R7,,"O4,X1,X8","A4,A7",,,0,1,0,0,1
skill-share,,,55259,5931,ComposioHQ,True,98912,Dom-14,T,skillsmp,"G1,R7,R8",,"[""G2"", ""O2"", ""Q3"", ""R1"", ""R8""]","G1,R7,R8","G2,O2,Q3,R1,R8",9.158,1.0,1.0,9.16,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,0,0,R7,,,,,,0,0,0,0,0
research-grants,,241.0,24807,2453,davila7,False,26056,Dom-2,T,skill.sh,"A4,A5,G1,G2,G3,I3,I4,O3,Q1,Q2,Q3,Q4,R1,R4,R7,R8,S4,X1,X7,X8","A2,A4,A5,G1,G2,G5,I4,K4,O4,Q1,Q3,Q4,R1,R10,R4,R5,S4,U1,U2,W1,W3,X1,X4,X5,X6,X7,X8","[""G1"", ""R1"", ""R2""]","A4,A5,G1,G2,G3,I3,I4,O3,Q1,Q2,Q3,Q4,R1,R4,R7,R8,S4,X1,X7,X8","G1,R1,R2",8.526,35.5,10.0,3026.66,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,7,0,5,4,"Q2,Q3,Q4,R4,R7,R8,S4",,"G3,O3,X1,X7,X8","A4,A5,I3,I4",,,0,1,0,0,1
technical-writer,,,106653,15658,Shubhamsaboo,False,108090,Dom-2,F,skillsmp,"G3,I3,Q1,R7,R8,U1,X1,X4,X8",,"[""G1"", ""R1"", ""R2""]","G3,I3,Q1,R7,R8,U1,X1,X4,X8","G1,R1,R2",9.699,18.0,26.0,4539.27,213306.0,2,star_proxy,38042.0,2.0,2.0,1.8,2,1,4,1,"R7,R8",U1,"G3,X1,X4,X8",I3,,,1,1,1,1,1
content-gap-analysis,,1186.0,1099,160,aaron-he-zhu,False,1123,Dom-2,T,skill.sh,"A5,G1,G2,I4,Q1,Q3,Q4,R1,R7,R8,X1,X5","A5,G1,G2,Q3,Q4,W3","[""G1"", ""R1"", ""R2""]","A5,G1,G2,I4,Q1,Q3,Q4,R1,R7,R8,X1,X5","G1,R1,R2",6.122,17.0,10.0,1040.78,2198.0,2,star_proxy,5562.0,2.0,2.0,1.8,4,0,2,2,"Q3,Q4,R7,R8",,"X1,X5","A5,I4",,,0,1,0,0,1
flow-interview,,16.0,572,41,gmickel,False,1190,Dom-2,T,skill.sh,"A7,Q1,Q2,Q4,R1,R7","A7,I4","[""G1"", ""R1"", ""R2""]","A7,Q1,Q2,Q4,R1,R7","G1,R1,R2",5.56,7.0,1.0,38.92,1144.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,0,1,"Q2,Q4,R7",,,A7,,,0,0,0,0,0
oma-translator,,,16,3,gracefullight,False,172,Dom-2,T,skillsmp,"A5,G1,I3,O3,Q4,R1,R7,X1,X8","G1,G5,Q4","[""G1"", ""R1"", ""R2""]","A5,G1,I3,O3,Q4,R1,R7,X1,X8","G1,R1,R2",1.591,17.5,10.0,278.44,32.0,2,star_proxy,38042.0,2.0,2.0,1.0,2,0,3,2,"Q4,R7",,"O3,X1,X8","A5,I3",,,0,1,0,0,1
gstack-openclaw-ceo-review,,,78853,11339,garrytan,False,88771,Dom-2,T,skillsmp,"G1,O3,Q1,Q4,R1,X7",,"[""G1"", ""R1"", ""R2""]","G1,O3,Q1,Q4,R1,X7","G1,R1,R2",9.461,6.0,4.0,227.07,157706.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,2,0,Q4,,"O3,X7",,,,0,1,0,0,0
copywriting,,375.0,24807,2453,davila7,False,26056,Dom-2,T,skill.sh,"G2,I3,Q1,Q3,Q4,R1,R8,U1",,"[""G1"", ""R1"", ""R2""]","G2,I3,Q1,Q3,Q4,R1,R8,U1","G1,R1,R2",8.526,9.0,13.0,997.52,49614.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,1,0,1,"Q3,Q4,R8",U1,,I3,,,1,0,0,1,0
landing-page-design,,5307.0,356,63,inferen-sh,True,0,Dom-2,T,skill.sh,"A5,Q1,Q3,Q4,R1,R7,R8,U1,X1,X8",,"[""G1"", ""R1"", ""R2""]","A5,Q1,Q3,Q4,R1,R7,R8,U1,X1,X8","G1,R1,R2",4.386,15.0,26.0,1710.4,712.0,2,star_proxy,5562.0,2.0,2.0,1.5,4,1,2,1,"Q3,Q4,R7,R8",U1,"X1,X8",A5,,,1,1,1,1,1
on-page-seo-auditor,,1164.0,1099,160,aaron-he-zhu,False,1123,Dom-2,T,skill.sh,"C4,G1,O3,Q1,Q2,Q4,R1,R7,R8,X1,X5","G1,G5,Q4,U1,X1,X7","[""G1"", ""R1"", ""R2""]","C4,G1,O3,Q1,Q2,Q4,R1,R7,R8,X1,X5","G1,R1,R2",6.122,13.5,13.0,1074.45,2198.0,2,star_proxy,5562.0,2.0,2.0,1.8,4,1,3,0,"Q2,Q4,R7,R8",C4,"O3,X1,X5",,,,1,1,1,0,0
chat-ui,,9805.0,356,63,inferen-sh,True,0,Dom-2,F,skill.sh,"Q1,R1,R7,X1,X3,X7",,"[""G1"", ""R1"", ""R2""]","Q1,R1,R7,X1,X3,X7","G1,R1,R2",4.386,8.5,4.0,149.11,712.0,2,star_proxy,5562.0,2.0,2.0,1.5,1,0,3,0,R7,,"X1,X3,X7",,,,0,1,0,0,0
meta-tags-optimizer,,1063.0,1099,160,aaron-he-zhu,False,1123,Dom-2,T,skill.sh,"A5,G1,Q1,Q4,R1,R7,R8,X1,X5","A4,A5,G1,G2,Q4,R8,X7","[""G1"", ""R1"", ""R2""]","A5,G1,Q1,Q4,R1,R7,R8,X1,X5","G1,R1,R2",6.122,12.0,10.0,734.67,2198.0,2,star_proxy,5562.0,2.0,2.0,1.8,3,0,2,1,"Q4,R7,R8",,"X1,X5",A5,,,0,1,0,0,1
